EmployeeKey,ParentEmployeeKey,FirstName,LastName,Title,HireDate,BirthDate,EmailAddress,Phone,EmergencyContactName,EmergencyContactPhone,Gender,PayFrequency,BaseRate,VacationHours,DepartmentName,StartDate,Status,SalaryStatus,IsSalesPerson,IsMarried
1,18,Kim,Abercrombie,Sales Region Manager,1996-07-31,1972-05-15,guy1@contoso.com,320-555-0195,Hazem Abolrous,320-555-0195,Male,2,72.45,40,Production,1996-07-31,Current,Not Salaried,No,Yes
2,18,Sagiv,Hadaya,Sales Region Manager,1997-02-26,1977-06-03,kevin0@contoso.com,150-555-0189,Kevin Cook,150-555-0189,Male,2,72.45,40,Marketing,1997-02-26,Current,Not Salaried,No,No
3,18,Luka,Abrus,Sales Region Manager,1997-12-12,1964-12-13,roberto0@contoso.com,212-555-0187,Ahmad Abu-Dayah,212-555-0187,Male,2,72.45,40,Engineering,1997-12-12,Current,Salaried,No,Yes
4,18,Kirk,Nason,Sales Region Manager,1998-01-05,1965-01-23,KirkNason@contoso.com,612-555-0100,Mrina Natarajan,612-555-0100,Male,2,72.45,40,Tool Design,1998-01-05,Current,Not Salaried,No,No
5,18,Humberto,Acevedo,Sales Region Manager,1998-01-05,1965-01-23,Humberto@contoso.com,612-555-0100,Gustavo Achong,612-555-0100,Male,2,72.45,40,Tool Design,2000-06-30,Current,Not Salaried,No,No
6,1,Yoichiro,Okada,Sales State Manager,1998-01-11,1949-08-29,thierry0@contoso.com,168-555-0183,Gerwald Oberleitner,168-555-0183,Male,2,55.0,40,Tool Design,1998-01-11,Current,Not Salaried,No,Yes
7,2,Pilar,Ackerman,Sales State Manager,1998-01-20,1965-04-19,PilarAckerman@contoso.com,913-555-0172,Gudmundur Adalsteinsson,913-555-0172,Male,2,55.0,40,Marketing,1998-01-20,Current,Salaried,No,No
8,3,Aaron,Painter,Sales State Manager,1998-01-20,1965-04-19,AaronPainter@contoso.com,913-555-0172,Dominik Paiha,913-555-0172,Male,2,55.0,40,Marketing,1999-08-16,Current,Salaried,No,No
9,4,Terry,Adams,Sales State Manager,1998-01-26,1946-02-16,jolynn0@contoso.com,903-555-0145,Michael Affronti,903-555-0145,Female,2,55.0,40,Production,1998-01-26,Current,Not Salaried,No,No
10,5,David,Probst,Sales State Manager,1998-02-06,1946-07-06,ruth0@contoso.com,145-555-0130,Jim Ptaszynski,145-555-0130,Female,2,55.0,40,Production,1998-02-06,Current,Not Salaried,No,Yes
11,1,Manoj,Agarwal,Sales State Manager,1998-02-06,1942-10-29,gail0@contoso.com,849-555-0139,Nupur Agarwal,849-555-0139,Female,2,55.0,40,Engineering,1998-02-06,Current,Salaried,No,Yes
12,2,Michael,Raheem,Sales State Manager,1998-02-07,1946-04-27,barry0@contoso.com,206-555-0180,Amritansh Raghav,206-555-0180,Male,2,55.0,40,Production,1998-02-07,Current,Not Salaried,No,No
13,3,David,Ahs,Sales State Manager,1998-02-24,1949-04-11,jossef0@contoso.com,122-555-0189,Hatim Aiad,122-555-0189,Male,2,55.0,40,Engineering,1998-02-24,Current,Salaried,No,Yes
14,8,Miguel,Saenz,Sales Store Manager,1998-03-03,1961-09-01,terri0@contoso.com,819-555-0175,Peter Saddow,819-555-0175,Female,2,25.0,40,Engineering,1998-03-03,Current,Salaried,No,No
15,9,Kim,Akers,Sales Store Manager,1998-03-05,1946-10-01,sidney0@contoso.com,424-555-0189,Cigdem Akin,424-555-0189,Male,2,25.0,40,Production,1998-03-05,Current,Not Salaried,No,Yes
16,1,Kate,Taneyhill,Sales State Manager,1998-03-11,1946-05-03,taylor0@contoso.com,508-555-0165,Roberto Tamburello,508-555-0165,Male,2,55.0,40,Production,1998-03-11,Current,Not Salaried,No,Yes
17,2,David,Alexander,Sales State Manager,1998-03-23,1946-08-12,jeffrey0@contoso.com,984-555-0185,Michael Alexander,984-555-0185,Male,2,55.0,40,Production,1998-03-23,Current,Not Salaried,No,No
18,1,Pieter,Uittenbogaard,Sales Group Manager,1998-03-30,1946-11-09,jo0@contoso.com,632-555-0129,Sairaj Uddin,632-555-0129,Female,2,125.0,80,'Human Resources Contral,1998-03-30,Current,Not Salaried,No,No
19,4,Michelle,Alexander,Sales State Manager,1998-04-11,1946-05-06,doris0@contoso.com,328-555-0150,Mark Alexieff,328-555-0150,Female,2,55.0,40,Production,1998-04-11,Current,Not Salaried,No,Yes
20,5,Rene,Valdes,Sales State Manager,1998-04-18,1946-09-08,john0@contoso.com,435-555-0113,Szabolcs Vajda,435-555-0113,Male,2,55.0,40,Production,1998-04-18,Current,Not Salaried,No,Yes
21,1,Michael,Allen,Sales State Manager,1998-04-29,1946-04-30,diane0@contoso.com,202-555-0151,Gilead Almosnino,202-555-0151,Female,2,55.0,40,Production,1998-04-29,Current,Not Salaried,No,Yes
22,2,Rohinton,Wadia,Sales State Manager,1999-01-02,1967-06-15,steven0@contoso.com,925-555-0114,Roland Wacker,925-555-0114,Male,2,55.0,40,Production,1999-01-02,Current,Not Salaried,No,Yes
23,3,Luis,Alverca,Sales State Manager,1999-01-02,1972-12-04,peter0@contoso.com,913-555-0196,James Alvord,913-555-0196,Male,2,55.0,40,Production Control,1999-01-02,Current,Salaried,No,Yes
24,9,Ming-Yang,Xie,Sales Store Manager,1999-01-03,1952-10-14,stuart0@contoso.com,413-555-0136,Stig Panduro,413-555-0136,Male,2,25.0,40,Production,1999-01-03,Current,Not Salaried,No,No
25,10,Antonio,Alwan,Sales Store Manager,1999-01-03,1960-11-18,greg0@contoso.com,332-555-0150,Kamil Amireh,332-555-0150,Male,2,25.0,40,Production,1999-01-03,Current,Not Salaried,No,No
26,1,David,Yalovsky,Sales State Manager,1999-01-03,1969-12-03,david1@contoso.com,166-555-0162,Shmuel Yair,166-555-0162,Male,2,55.0,40,Production,1999-01-03,Current,Not Salaried,No,No
27,2,Oleg,Anashkin,Sales State Manager,1999-01-04,1973-11-26,zheng0@contoso.com,113-555-0173,Thomas Andersen,113-555-0173,Male,2,55.0,40,Production,1999-01-04,Current,Not Salaried,No,No
28,3,Marko,Zajc,Sales State Manager,1999-01-05,1972-02-04,ivo0@contoso.com,115-555-0179,Eugene Zabokritski,115-555-0179,Male,2,55.0,40,Production,1999-01-05,Current,Not Salaried,No,Yes
29,4,Christen,Anderson,Sales State Manager,1999-01-05,1970-12-15,paul0@contoso.com,147-555-0160,Nancy Anderson,147-555-0160,Male,2,55.0,40,Production,1999-01-05,Current,Not Salaried,No,No
30,5,Mike,Nash,Sales State Manager,1999-01-05,1967-04-28,ashvini0@contoso.com,656-555-0119,Ranjith Narayanan,656-555-0119,Male,2,55.0,40,Information Services,1999-01-05,Current,Not Salaried,No,No
31,1,Diogo,Andrade,Sales State Manager,1999-01-06,1976-06-30,kendall0@contoso.com,138-555-0128,Joe Andreshak,138-555-0128,Male,2,55.0,40,Production,1999-01-06,Current,Not Salaried,No,Yes
32,2,Aneta,Olecka,Sales State Manager,1999-01-07,1966-03-14,paula0@contoso.com,523-555-0175,Preeda Ola,523-555-0175,Female,2,55.0,40,Human Resources,1999-01-07,Current,Salaried,No,Yes
33,3,Ben,Andrews,Sales State Manager,1999-01-07,1979-01-06,alejandro0@contoso.com,668-555-0130,Lisa Andrews,668-555-0130,Male,2,55.0,40,Production,1999-01-07,Current,Not Salaried,No,No
34,7,Jae,Pak,Sales Store Manager,1999-01-08,1974-09-26,garrett0@contoso.com,609-555-0179,Wilson Pais,609-555-0179,Male,2,25.0,40,Production,1999-01-08,Current,Not Salaried,No,No
35,10,Roy,Antebi,Sales Store Manager,1999-01-08,1973-08-27,jianshuo0@contoso.com,952-555-0178,Johnson Apacible,952-555-0178,Male,1,25.0,38,Production,1999-01-08,Current,Not Salaried,No,No
36,6,Prithvi,Raj,Sales Store Manager,1999-01-08,1968-03-20,susan0@contoso.com,943-555-0196,Stuart Railson,943-555-0196,Female,1,25.0,40,Shipping and Receiving,1999-01-08,Current,Not Salaried,No,No
37,6,Luca,Argentiero,Sales Store Manager,1999-01-08,1967-04-19,vamsi0@contoso.com,937-555-0137,NeKeta Argrow,937-555-0137,Male,2,25.0,40,Shipping and Receiving,1999-01-08,Current,Not Salaried,No,Yes
38,6,Suriya,Sajjateerakool,Sales Store Manager,1999-01-08,1968-02-27,alice0@contoso.com,333-555-0173,Malvin Seale,333-555-0173,Female,1,25.0,40,Production,1999-01-08,Current,Not Salaried,No,Yes
39,6,Zainal,Arifin,Sales Store Manager,1999-01-09,1980-06-17,simon0@contoso.com,963-555-0134,Ravital Artman,963-555-0134,Male,1,25.0,40,Production,1999-01-09,Current,Not Salaried,No,No
40,6,Amy,Strande,Sales Store Manager,1999-01-09,1979-03-09,jinghao0@contoso.com,794-555-0159,Anne-Mette Stoltze,794-555-0159,Male,2,25.0,40,Production,1999-01-09,Current,Not Salaried,No,No
